                                 The SAS System                                1
                                             Thursday, July  8, 2021 08:19:00 PM

       Obs    gvkey      fyear                   mii                    pi
       341    001891      1996                 .                  635.3900
       342    001891      1997                 .                  724.0100
       343    001891      1998                 .                  884.2000
       344    001891      1999                 .                 1084.5000
       345    001891      2000                 .                 1289.6000
       346    001919      1994                0.0000              154.8380
       347    001919      1995                 .                  243.3740
       348    001919      1996                 .                  325.0390
       349    001919      1997                 .                  313.4190
       350    001919      1998                 .                  267.3460
       351    001923      1994                0.0000                6.9270
       352    001923      1995                0.0070                5.9080
       353    001926      1994                0.0000                2.6080
       354    001926      1995                0.0000                4.2670
       355    001926      1996                0.0000                7.1530
       356    001926      1997                0.0000                9.9090
       357    001926      1998                0.0000                7.8000
       358    001926      1999                0.0000               10.5490
       359    001926      2000                0.0000               13.1270
       360    001940      1994                0.0000                0.7160
       361    001940      1995                0.0000                3.4720
       362    001940      1996                0.0000                4.8120
       363    001940      1997                0.0000                3.2930
       364    001940      1998                0.0000                4.8130
       365    001940      1999                0.0000                7.1780
       366    001943      1996                0.0000               52.4030
       367    001943      1997                 .                   51.2020
       368    001968      1994                0.0000                4.9740
       369    001968      1995                0.0000                5.9110
       370    001968      1996                0.0000                8.1670
       371    001968      1997                0.0000               10.2050
       372    001968      1998                0.0000               13.3640
       373    001968      1999                0.0000               15.6590
       374    001968      2000                0.0000               10.7270
       375    001971      1994                0.0000               11.5100
       376    001971      1995                0.0000               12.6070
       377    001971      1996                0.0000               13.2310
       378    001971      1997                0.0000               13.7580
       379    001971      1998                0.0000                2.5310
       380    001971      1999                0.0000               12.8980
       381    001971      2000                0.0000               12.0630
       382    001974      2000                0.0000               10.9720
       383    001979      1995                0.0000                2.4280
       384    001979      1996                0.0000                2.9170
       385    001979      1998                0.0000                4.6280
       386    001979      1999                0.0000                4.9050
       387    001979      2000                0.0000                5.9960
       388    001981      1994                0.0000               43.2120
       389    001981      1995                 .                   52.9460
       390    001981      1996                 .                   57.1920
       391    001981      1997                 .                   65.6350
       392    001981      1998                 .                   71.9520
       393    001981      1999                 .                   70.5230
       394    001981      2000                 .                   74.0210
       395    001988      1994                4.6000              122.3000
       396    001988      1997               -5.1000               85.2000
       397    001988      1998               -7.9000               32.9000
       398    001988      1999                1.9000              171.0000
       399    001988      2000               -1.0000              110.0000
       400    001992      1994                 .                    1.9910
       401    002008      1994                0.0000              149.8350
       402    002008      1995                0.0000              155.1160
       403    002008      1996                0.0000              130.7800
       404    002008      1997                0.0000              202.9160
       405    002008      1998                0.0000               99.5130
       406    002008      1999                0.0000               92.0900
       407    002008      2000                0.0000               99.3750
       408    002033      1994                2.5520               55.3440
       409    002034      1994                0.0000               78.7280
       410    002034      1995                0.0000               89.0500
       411    002034      1996                0.0000               84.2070
       412    002034      1997                0.0000               70.8230
       413    002034      1998                0.0000               86.0900
       414    002034      1999                0.0000               34.6100
       415    002034      2000                0.0000               96.6430
       416    002044      1994                 .                  103.0000
       417    002044      1995                 .                  123.5000
       418    002044      1996                 .                  102.7000
       419    002044      1997                 .                  104.9000
       420    002044      1998                 .                  464.4000
       421    002044      1999                 .                  173.3000
       422    002044      2000                 .                  154.0000
       423    002049      1994                0.0000               33.9220
       424    002052      1994               -0.2500                5.2730
       425    002052      1995               -0.2860                1.0560
       426    002061      1994                0.0000                6.0020
       427    002061      1995                0.0000               10.0370
       428    002061      1996                0.0000               13.7220
       429    002061      1997                0.0000               16.7980
       430    002061      1998                0.0000               15.4790
       431    002080      1994                0.0000               34.7800
       432    002080      1995                0.0000               30.1290
       433    002080      1996                0.0000               22.2880
       434    002085      1994               24.0570               90.3400
       435    002085      1995               21.7570              211.8470
